@relation data

@attribute timestamp String
@attribute speed String
@attribute status String
@attribute place String
@attribute day_of_the_week String

@data
'afternoon', '0-5', 'Walking', 'undefined', 'Thursday'
'afternoon', '5-15', 'Walking', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '5-15', 'Walking', 'undefined', 'Thursday'
'afternoon', '5-15', 'Running', 'undefined', 'Thursday'
'afternoon', '0-5', 'Walking', 'undefined', 'Thursday'
'afternoon', '5-15', 'Walking', 'undefined', 'Thursday'
'afternoon', '5-15', 'Walking', 'undefined', 'Thursday'
'afternoon', '0-5', 'Walking', 'undefined', 'Thursday'
'afternoon', '0-5', 'Walking', 'undefined', 'Thursday'
'afternoon', '0-5', 'Still', 'undefined', 'Thursday'
'afternoon', '0-5', 'Vehicle', 'undefined', 'Thursday'
'afternoon', '0-5', 'Still', 'undefined', 'Thursday'
'afternoon', '0-5', 'Still', 'undefined', 'Thursday'
'afternoon', '5-15', 'Still', 'undefined', 'Thursday'
'afternoon', '0-5', 'Still', 'undefined', 'Thursday'
'afternoon', '0-5', 'Still', 'undefined', 'Thursday'
'afternoon', '0-5', 'Still', 'undefined', 'Thursday'
'afternoon', '0-5', 'Still', 'undefined', 'Friday'
'afternoon', '0-5', 'Still', 'undefined', 'Friday'
'night', '0-5', 'Still', 'undefined', 'Friday'
'night', '0-5', 'Still', 'undefined', 'Friday'
'night', '0-5', 'Still', 'undefined', 'Friday'
'night', '0-5', 'Still', 'undefined', 'Friday'
'night', '0-5', 'Still', 'undefined', 'Friday'
'night', '0-5', 'Still', 'undefined', 'Friday'
